date,home_team,away_team,actual,predicted,correct,tier,consensus,h_prob,d_prob,a_prob,brier,elo_home,elo_away,elo_gap
2023-12-17,Leverkusen,Ein Frankfurt,home_win,home_win,True,SNIPER,0,0.4591,0.2636,0.2773,0.439,1652.7,1534.2,118.4
2023-12-17,Bayern Munich,Stuttgart,home_win,home_win,True,SNIPER,0,0.4623,0.2636,0.2741,0.4337,1686.4,1560.4,126.0
2023-12-19,Dortmund,Mainz,draw,home_win,False,SNIPER,0,0.4914,0.2636,0.245,0.8438,1618.4,1415.2,203.3
2023-12-19,Hoffenheim,Darmstadt,draw,home_win,False,SNIPER,0,0.4458,0.2636,0.2906,0.8255,1482.3,1393.8,88.5
2023-12-19,Werder Bremen,RB Leipzig,draw,away_win,False,SKIP,0,0.2876,0.2636,0.4488,0.8264,1416.8,1648.6,-231.8
2023-12-20,Union Berlin,FC Koln,home_win,home_win,True,HOLD,0,0.3755,0.3336,0.2909,0.5859,1447.7,1422.7,25.0
2023-12-20,Ein Frankfurt,M'gladbach,home_win,home_win,True,HOLD,0,0.4328,0.2636,0.3036,0.4834,1525.4,1464.5,61.0
2023-12-20,Heidenheim,Freiburg,home_win,draw,False,SKIP,0,0.3154,0.3572,0.3274,0.7035,1474.5,1553.3,-78.8
2023-12-20,Leverkusen,Bochum,home_win,home_win,True,SNIPER,0,0.4914,0.2636,0.245,0.3882,1661.5,1458.4,203.1
2023-12-20,Stuttgart,Augsburg,home_win,home_win,True,HOLD,0,0.4539,0.2636,0.2825,0.4475,1551.9,1445.6,106.3
2023-12-20,Wolfsburg,Bayern Munich,away_win,away_win,True,SKIP,0,0.2934,0.2636,0.443,0.4658,1477.3,1694.9,-217.7
2024-01-12,Bayern Munich,Hoffenheim,home_win,home_win,True,SNIPER,0,0.4991,0.2636,0.2373,0.3767,1703.8,1476.3,227.5
2024-01-13,Augsburg,Leverkusen,away_win,away_win,True,SKIP,0,0.2878,0.2636,0.4486,0.4564,1436.3,1667.5,-231.2
2024-01-13,FC Koln,Heidenheim,draw,draw,True,SKIP,0,0.3152,0.3545,0.3302,0.6251,1410.1,1491.9,-81.8
2024-01-13,Freiburg,Union Berlin,draw,home_win,False,HOLD,0,0.4398,0.2636,0.2966,0.8237,1536.0,1460.3,75.7
2024-01-13,Mainz,Wolfsburg,draw,draw,True,SKIP,0,0.3166,0.3861,0.2973,0.5655,1425.1,1468.4,-43.3
2024-01-13,RB Leipzig,Ein Frankfurt,away_win,home_win,False,SNIPER,0,0.453,0.2636,0.2834,0.7882,1640.9,1536.5,104.4
2024-01-13,Darmstadt,Dortmund,away_win,away_win,True,SKIP,0,0.2973,0.2636,0.4391,0.4725,1399.9,1608.4,-208.6
2024-01-14,Bochum,Werder Bremen,draw,home_win,False,HOLD,0,0.3768,0.3336,0.2896,0.6699,1452.3,1424.5,27.8
2024-01-14,M'gladbach,Stuttgart,home_win,away_win,False,SKIP,0,0.3124,0.3336,0.354,0.7094,1453.4,1561.2,-107.7
2024-01-20,Darmstadt,Ein Frankfurt,draw,away_win,False,SKIP,0,0.3153,0.2636,0.4211,0.819,1390.7,1559.2,-168.5
2024-01-20,FC Koln,Dortmund,away_win,away_win,True,SKIP,0,0.2984,0.2636,0.438,0.4744,1411.5,1617.6,-206.1
2024-01-20,Bochum,Stuttgart,home_win,draw,False,SKIP,0,0.3146,0.3437,0.3417,0.7047,1448.8,1542.5,-93.7
2024-01-20,Heidenheim,Wolfsburg,draw,home_win,False,HOLD,0,0.3739,0.3336,0.2925,0.6694,1490.4,1468.7,21.6
2024-01-20,RB Leipzig,Leverkusen,away_win,draw,False,SKIP,0,0.3156,0.3762,0.3082,0.7197,1618.2,1675.8,-57.6
2024-01-20,Freiburg,Hoffenheim,home_win,home_win,True,HOLD,0,0.4321,0.2636,0.3043,0.4846,1530.4,1470.9,59.5
2024-01-21,Bayern Munich,Werder Bremen,away_win,home_win,False,SNIPER,0,0.5138,0.2636,0.2226,0.9378,1709.1,1428.0,281.1
2024-01-21,M'gladbach,Augsburg,away_win,home_win,False,HOLD,0,0.4245,0.2636,0.3119,0.7232,1472.0,1428.0,44.1
2024-01-24,Bayern Munich,Union Berlin,home_win,home_win,True,SNIPER,0,0.4954,0.2636,0.241,0.3822,1681.3,1465.8,215.5
2024-01-26,Ein Frankfurt,Mainz,home_win,home_win,True,SNIPER,0,0.4636,0.2636,0.2728,0.4316,1553.9,1424.8,129.1
2024-01-27,Augsburg,Bayern Munich,away_win,away_win,True,SKIP,0,0.2848,0.2636,0.4516,0.4513,1448.2,1687.0,-238.8
2024-01-27,Hoffenheim,Heidenheim,draw,draw,True,SKIP,0,0.3307,0.3717,0.2976,0.5927,1459.8,1487.1,-27.4
2024-01-27,Wolfsburg,FC Koln,draw,home_win,False,HOLD,0,0.437,0.2636,0.2994,0.8229,1472.0,1402.3,69.7
2024-01-27,Leverkusen,M'gladbach,draw,home_win,False,SNIPER,0,0.5027,0.2636,0.2337,0.8496,1691.5,1451.8,239.7
2024-01-27,Stuttgart,RB Leipzig,home_win,draw,False,SKIP,0,0.3154,0.3579,0.3268,0.7036,1524.5,1602.6,-78.0
2024-01-27,Werder Bremen,Freiburg,home_win,draw,False,SKIP,0,0.315,0.351,0.3339,0.7039,1455.9,1541.5,-85.7
2024-01-28,Union Berlin,Darmstadt,home_win,home_win,True,HOLD,0,0.4343,0.2636,0.3021,0.4808,1460.1,1396.0,64.2
2024-01-28,Dortmund,Bochum,home_win,home_win,True,SNIPER,0,0.476,0.2636,0.2604,0.4119,1626.9,1466.8,160.1
2024-02-02,Heidenheim,Dortmund,draw,away_win,False,SKIP,0,0.295,0.3336,0.3714,0.6691,1488.2,1634.2,-146.0
2024-02-03,Bayern Munich,M'gladbach,home_win,home_win,True,SNIPER,0,0.5005,0.2636,0.2359,0.3746,1695.1,1462.7,232.3
2024-02-03,Darmstadt,Leverkusen,away_win,away_win,True,SKIP,0,0.2643,0.2636,0.4721,0.418,1385.0,1680.6,-295.5
2024-02-03,Bochum,Augsburg,draw,home_win,False,HOLD,0,0.3728,0.3336,0.2936,0.6693,1459.4,1440.1,19.3
2024-02-03,FC Koln,Ein Frankfurt,home_win,away_win,False,SKIP,0,0.2912,0.3336,0.3752,0.7545,1407.6,1562.3,-154.7
2024-02-03,Mainz,Werder Bremen,away_win,draw,False,SKIP,0,0.3156,0.3767,0.3078,0.7206,1416.4,1473.5,-57.1
2024-02-03,Freiburg,Stuttgart,away_win,draw,False,SKIP,0,0.3393,0.3632,0.2975,0.7405,1523.9,1541.8,-17.9
2024-02-04,Wolfsburg,Hoffenheim,draw,home_win,False,HOLD,0,0.3639,0.3399,0.2962,0.6559,1466.7,1458.7,8.0
